start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_A03_2,PF_A04_C,15,16.0,18.0,27.99416386620211,0.1286154513423783,3.586893751409864,2.3564814814814814,0.0901558541970422,0.1666666666666665,10.413725490196075,1.031148225749569,24.97666666666665,2024-02-01 00:00:00
PF_A03_2,PF_A04_C,15,16.0,18.0,28.214277718194523,0.1601191626999168,4.181201151789363,2.349074074074074,0.1032035038549858,0.1666666666666665,10.461764705882352,1.015450862417249,24.983333333333324,2024-02-01 00:01:00
PF_A03_2,PF_A04_C,15,16.0,17.0,28.08485476720266,0.1398459081241449,4.426773226773218,2.3529411764705883,0.0962862936622976,0.1666666666666665,9.842708333333334,1.0100422582331212,21.245833333333337,2024-02-01 00:02:00
PF_A03_2,PF_A04_C,15,16.0,18.0,26.89967792687152,0.0350457891642881,0.0,2.428703703703704,0.0376460780023644,0.1916666666666664,10.142156862745097,1.0903463605794446,21.50999999999998,2024-02-01 00:04:00
PF_A03_2,PF_A04_C,15,16.0,19.0,27.26118749903128,0.0303178917031215,1.430465857671738,2.395614035087719,0.0305765254109105,0.1666666666666665,10.01574074074074,1.0899351578308794,20.67749999999996,2024-02-01 00:03:00
PF_A03_2,PF_A04_C,15,16.0,18.0,27.71740858331185,0.1337952757568316,2.207872772388882,2.382407407407407,0.0951513046061955,0.1916666666666664,10.126470588235293,1.0990027812538912,21.516666666666644,2024-02-01 00:05:00
PF_A03_2,PF_A04_C,15,16.0,18.0,27.85028981498341,0.1528307910359014,2.566652097902076,2.3777777777777778,0.1029597995824442,0.1916666666666664,10.480392156862743,1.1077524055581436,26.63333333333332,2024-02-01 00:07:00
PF_A03_2,PF_A04_C,15,16.0,18.0,27.967984620178218,0.1696506418835719,2.884428071928045,2.3740740740740742,0.1092954430853412,0.1916666666666664,10.20686274509804,1.093501298703477,21.923333333333314,2024-02-01 00:06:00
PF_A03_2,PF_A04_C,15,16.0,18.0,27.014037251757163,0.0412191391200901,0.3087701771912279,2.4194444444444443,0.0429383197417296,0.1916666666666664,9.54313725490196,1.1500681215182085,20.88999999999998,2024-02-01 00:08:00
PF_A03_2,PF_A04_C,15,16.0,19.0,26.69597970781017,0.0477906879135636,0.0,2.45,0.0524491315474847,0.3449999999999997,9.761111111111113,1.2319079695345831,20.579166666666616,2024-02-01 00:09:00
