start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,25.73333333333333,,0.0,,,,2024-02-01 09:49:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,27.03333333333333,,0.0,,,,2024-02-01 09:52:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,25.366666666666667,,0.0,,,,2024-02-01 09:48:26
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,26.383333333333333,,0.0,,,,2024-02-01 09:50:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,26.3,,0.0,,,,2024-02-01 09:51:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,30.73333333333333,,0.0,,,,2024-02-01 09:57:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,31.383333333333333,,0.0,,,,2024-02-01 09:58:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,29.933333333333334,,0.0,,,,2024-02-01 09:56:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,29.316666666666663,,0.0,,,,2024-02-01 09:55:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,27.75,,0.0,,,,2024-02-01 09:53:00
PF_B02_1,PF_A14_C,8,9.0,1.0,,,,28.616666666666667,,0.0,,,,2024-02-01 09:54:00
