start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,12.3,,0.0,,,,2024-02-06 05:29:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,9.933333333333334,,0.0,,,,2024-02-06 05:32:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,12.3,,0.0,,,,2024-02-06 05:26:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,12.3,,0.0,,,,2024-02-06 05:25:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,12.3,,0.0,,,,2024-02-06 05:27:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,10.966666666666669,,0.0,1.3333333333333333,,0.0,2024-02-06 05:21:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,12.3,,0.0,,,,2024-02-06 05:28:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,11.016666666666667,,0.0,,,,2024-02-06 05:30:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,10.55,,0.0,,,,2024-02-06 05:31:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,10.75,,0.0,1.55,,0.0,2024-02-06 05:22:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,10.233333333333333,,0.0,2.066666666666667,,0.0,2024-02-06 05:23:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,9.933333333333334,,0.0,2.3666666666666667,,0.0,2024-02-06 05:24:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,4.1,,0.0,0.2,,0.0,2024-02-06 05:12:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,5.65,,0.0,0.0666666666666666,,0.0,2024-02-06 05:13:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,0.8666666666666667,,0.0,,,,2024-02-06 05:08:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,11.266666666666667,,0.0,1.1,,0.0,2024-02-06 05:20:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,2.25,,0.0,0.5666666666666667,,0.0,2024-02-06 05:09:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,6.166666666666667,,0.0,0.0666666666666666,,0.0,2024-02-06 05:14:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,6.666666666666667,,0.0,0.0666666666666666,,0.0,2024-02-06 05:15:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,7.6,,0.0,0.0666666666666666,,0.0,2024-02-06 05:16:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,11.183333333333334,,0.0,0.0666666666666666,,0.0,2024-02-06 05:19:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,2.583333333333333,,0.0,0.4333333333333333,,0.0,2024-02-06 05:10:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,3.55,,0.0,0.4833333333333333,,0.0,2024-02-06 05:11:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,10.383333333333333,,0.0,0.0666666666666666,,0.0,2024-02-06 05:18:00
PF_C07_1,PF_D02_1,7,8.0,1.0,,,,9.05,,0.0,0.06666666666666667,,0.0,2024-02-06 05:17:00
