start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,22.766666666666666,,0.0,,,,2024-02-06 05:29:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,23.266666666666666,,0.0,,,,2024-02-06 05:32:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,19.716666666666665,,0.0,,,,2024-02-06 05:26:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,18.7,,0.0,,,,2024-02-06 05:25:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,20.73333333333333,,0.0,,,,2024-02-06 05:27:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,13.3,,0.0,1.3333333333333333,,0.0,2024-02-06 05:21:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,21.75,,0.0,,,,2024-02-06 05:28:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,22.5,,0.0,,,,2024-02-06 05:30:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,22.966666666666665,,0.0,,,,2024-02-06 05:31:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,14.1,,0.0,1.55,,0.0,2024-02-06 05:22:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,14.6,,0.0,2.066666666666667,,0.0,2024-02-06 05:23:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,15.316666666666666,,0.0,2.3666666666666667,,0.0,2024-02-06 05:24:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,5.666666666666667,,0.0,0.2,,0.0,2024-02-06 05:12:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,6.683333333333334,,0.0,0.0666666666666666,,0.0,2024-02-06 05:13:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,3.283333333333333,,0.0,,,,2024-02-06 05:08:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,12.75,,0.0,1.1,,0.0,2024-02-06 05:20:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,3.566666666666667,,0.0,0.5666666666666667,,0.0,2024-02-06 05:09:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,7.7,,0.0,0.0666666666666666,,0.0,2024-02-06 05:14:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,8.716666666666667,,0.0,0.0666666666666666,,0.0,2024-02-06 05:15:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,9.733333333333333,,0.0,0.0666666666666666,,0.0,2024-02-06 05:16:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,12.766666666666667,,0.0,0.0666666666666666,,0.0,2024-02-06 05:19:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,3.966666666666667,,0.0,0.4333333333333333,,0.0,2024-02-06 05:10:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,4.716666666666667,,0.0,0.4833333333333333,,0.0,2024-02-06 05:11:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,11.75,,0.0,0.0666666666666666,,0.0,2024-02-06 05:18:00
PF_C13_C,PF_C05_1,1,2.0,1.0,,,,10.733333333333333,,0.0,0.06666666666666667,,0.0,2024-02-06 05:17:00
