start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.666666666666667,,0.0,,,,2024-02-01 06:10:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.666666666666667,,0.0,,,,2024-02-01 06:09:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.333333333333333,,0.0,,,,2024-02-01 06:05:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.716666666666667,,0.0,,,,2024-02-01 06:02:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.483333333333333,,0.0,,,,2024-02-01 06:04:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.716666666666667,,0.0,,,,2024-02-01 06:03:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.95,,0.0,,,,2024-02-01 06:06:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.666666666666667,,0.0,,,,2024-02-01 06:07:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.666666666666667,,0.0,,,,2024-02-01 06:08:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.183333333333334,,0.0,,,,2024-02-01 05:54:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.833333333333333,,0.0,,,,2024-02-01 05:53:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.783333333333333,,0.0,,,,2024-02-01 05:57:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,0.2,,0.0,,,,2024-02-01 05:48:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.15,,0.0,,,,2024-02-01 05:59:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.833333333333333,,0.0,,,,2024-02-01 06:01:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,5.55,,0.0,,,,2024-02-01 06:00:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.366666666666666,,0.0,,,,2024-02-01 05:55:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.783333333333333,,0.0,,,,2024-02-01 05:56:00
PF_F10_C,PF_C09_2,2,3.0,1.0,,,,4.783333333333333,,0.0,,,,2024-02-01 05:58:00
