start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_K03_1,PF_K02_1,6,7.0,22.0,20.00919282213471,0.0460746990044699,0.0,1.503787878787879,0.0496750792087437,0.1325,16.25333333333333,0.7664087781501742,27.687499999999982,2024-02-01 00:00:00
PF_K03_1,PF_K02_1,6,7.0,21.0,20.04942794132451,0.0461200100003703,0.0,1.5007936507936503,0.0500938677555443,0.1333333333333335,17.244444444444444,0.7358692078684798,27.89333333333333,2024-02-01 00:01:00
PF_K03_1,PF_K02_1,6,7.0,21.0,21.219194175090745,0.2608044324740483,0.974805194805196,1.4626984126984124,0.1347683880274916,0.1333333333333335,17.244444444444447,0.7264565458615507,27.623333333333328,2024-02-01 00:02:00
PF_K03_1,PF_K02_1,6,7.0,21.0,20.716981612143485,0.1838686673667248,0.974805194805196,1.4785714285714282,0.1162257219868201,0.1833333333333333,17.57777777777778,0.7879335210353097,30.876666666666665,2024-02-01 00:04:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:23:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:24:00
PF_K03_1,PF_K02_1,9,10.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:25:00
PF_K03_1,PF_K02_1,9,10.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:27:00
PF_K03_1,PF_K02_1,9,10.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:26:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:28:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:29:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:30:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:31:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:32:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:33:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:35:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:34:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:36:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:37:00
PF_K03_1,PF_K02_1,6,7.0,21.0,20.20334455103059,0.0603933992298562,0.974805194805196,1.4912698412698409,0.0608684205690551,0.1333333333333335,17.07777777777778,0.7304708635763174,27.39333333333333,2024-02-01 00:03:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:53:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:54:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:55:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:56:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:57:00
PF_K03_1,PF_K02_1,6,7.0,20.0,20.8894318059232,0.2305278863137665,1.02354545454547,1.478333333333333,0.1299970344475315,0.1883333333333334,18.3625,0.7911538224106227,31.471666666666664,2024-02-01 00:05:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:19:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:21:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:22:00
PF_K03_1,PF_K02_1,6,7.0,21.0,19.4628212388046,0.1065236128204073,0.0,1.568253968253968,0.1632599250502322,0.2833333333333334,18.75740740740741,0.86535093179623,36.42333333333333,2024-02-01 00:07:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:18:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:17:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:10:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:09:00
PF_K03_1,PF_K02_1,9,10.0,1.0,20.470909090909128,,0.0,1.4666666666666666,,0.0,,,,2024-02-01 06:11:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:05:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:02:00
PF_K03_1,PF_K02_1,6,7.0,19.0,19.86841297625398,0.0849084303122438,0.3886771159874556,1.5245614035087716,0.1104911173081023,0.234999999999999,13.964285714285715,0.8725066066192254,22.91999999999998,2024-02-01 02:58:00
PF_K03_1,PF_K02_1,6,7.0,20.0,20.229221698070653,0.0412269475421277,0.3119874608150468,1.4866666666666664,0.0426660619815026,0.1674999999999999,12.512962962962964,0.8821620532801704,20.03666666666665,2024-02-01 02:53:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:58:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 05:59:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:01:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:00:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:04:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:03:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:06:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:07:00
PF_K03_1,PF_K02_1,14,15.0,2.0,20.470909090909128,0.0,0.0,1.4666666666666666,0.0,0.0,,,,2024-02-01 06:08:00
