start_stop,end_stop,start_sequence,end_sequence,no_of_trips,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_N01_C,PF_K05_C,11,12.0,11.0,40.916093293084295,0.0558192479209255,2.969892738867614,6.868181818181818,0.0548170779802446,0.4833333333333343,28.9962962962963,1.078605200141587,71.47999999999999,2024-02-01 00:00:00
PF_N01_C,PF_K05_C,11,12.0,11.0,40.93955235888038,0.0573254034734834,3.098917600746063,6.8651515151515135,0.0559267325589365,0.4833333333333343,28.97407407407407,1.0787831441808935,71.44,2024-02-01 00:01:00
PF_N01_C,PF_K05_C,11,12.0,11.0,41.0484264847545,0.0645448153877499,3.697725293053765,6.851515151515151,0.0611287730033736,0.4833333333333343,28.940740740740743,1.0795684862385784,71.38,2024-02-01 00:02:00
PF_N01_C,PF_K05_C,6,7.0,1.0,49.30944281524927,,0.0,5.683333333333334,,0.0,,,,2024-02-01 06:23:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:24:00
PF_N01_C,PF_K05_C,6,7.0,2.0,43.93958691840314,0.0974685550140103,2.7255114382416465,6.408333333333333,0.0974685550140103,0.3974999999999999,,,,2024-02-01 06:25:00
PF_N01_C,PF_K05_C,6,7.0,2.0,43.93958691840314,0.0974685550140103,2.7255114382416465,6.408333333333333,0.0974685550140103,0.3974999999999999,,,,2024-02-01 06:27:00
PF_N01_C,PF_K05_C,6,7.0,2.0,43.93958691840314,0.0974685550140103,2.7255114382416465,6.408333333333333,0.0974685550140103,0.3974999999999999,,,,2024-02-01 06:26:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:28:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:29:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:30:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:31:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:32:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:33:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:35:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:34:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:36:00
PF_N01_C,PF_K05_C,6,7.0,1.0,46.967932960893854,,0.0,5.966666666666667,,0.0,,,,2024-02-01 06:37:00
PF_N01_C,PF_K05_C,11,12.0,11.0,41.07338330443912,0.066243273664508,3.83498780131913,6.848484848484848,0.0623261149134423,0.4833333333333343,25.9,0.9975294192240408,59.9,2024-02-01 00:04:00
PF_N01_C,PF_K05_C,11,12.0,1.0,40.91124087591241,,0.0,6.85,,0.0,,,,2024-02-01 05:53:00
PF_N01_C,PF_K05_C,11,12.0,1.0,40.91124087591241,,0.0,6.85,,0.0,,,,2024-02-01 05:54:00
