start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_A11_C,PF_K05_C,5,5.0,,,,11.55,,0.0,,,,2024-01-02 17:44:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.916666666666666,,0.0,,,,2024-01-02 17:45:00
PF_A11_C,PF_K05_C,5,5.0,,,,12.35,,0.0,,,,2024-01-02 17:46:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.8,,0.0,,,,2024-01-02 17:47:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.333333333333334,,0.0,,,,2024-01-02 17:48:00
PF_A11_C,PF_K05_C,5,5.0,,,,10.833333333333334,,0.0,,,,2024-01-02 17:49:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.5,,0.0,,,,2024-01-02 17:50:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.15,,0.0,,,,2024-01-02 17:51:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.316666666666666,,0.0,,,,2024-01-02 17:52:00
PF_A11_C,PF_K05_C,5,5.0,,,,11.583333333333334,,0.0,,,,2024-01-02 17:53:00
