start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_A13_C,PF_K03_2,3,3.0,,,,11.5,,0.0,,,,2024-01-02 17:44:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.866666666666667,,0.0,,,,2024-01-02 17:45:00
PF_A13_C,PF_K03_2,3,3.0,,,,12.3,,0.0,,,,2024-01-02 17:46:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.75,,0.0,,,,2024-01-02 17:47:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.283333333333331,,0.0,,,,2024-01-02 17:48:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.55,,0.0,,,,2024-01-02 17:49:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.55,,0.0,,,,2024-01-02 17:50:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.55,,0.0,,,,2024-01-02 17:51:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.55,,0.0,,,,2024-01-02 17:52:00
PF_A13_C,PF_K03_2,3,3.0,,,,11.55,,0.0,,,,2024-01-02 17:53:00
