start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_A14_C,PF_N02_C,2,2.0,,,,28.35,,0.0,,,,2024-01-02 17:56:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.616666666666667,,0.0,,,,2024-01-02 17:57:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.516666666666666,,0.0,,,,2024-01-02 17:58:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.416666666666668,,0.0,,,,2024-01-02 18:00:00
PF_A14_C,PF_N02_C,2,2.0,,,,27.616666666666667,,0.0,,,,2024-01-02 18:01:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.266666666666666,,0.0,,,,2024-01-02 18:02:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.266666666666666,,0.0,,,,2024-01-02 18:03:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.266666666666666,,0.0,,,,2024-01-02 18:04:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.266666666666666,,0.0,,,,2024-01-02 18:05:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.266666666666666,,0.0,,,,2024-01-02 18:07:00
PF_A14_C,PF_N02_C,2,2.0,,,,28.266666666666666,,0.0,,,,2024-01-02 18:06:00
