start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_B01_1,PF_B01_1,16.0,16.0,,,,7.716666666666667,,0.0,15.849999999999998,1.10128979666236,38.03666666666665,2024-02-02 09:46:28
PF_B01_1,PF_B01_1,16.0,16.0,,,,4.283333333333333,1.2106108316034276,3.3,13.977083333333336,1.2184704589090607,36.94749999999999,2024-02-02 09:47:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,7.783333333333333,,0.0,13.910416666666666,1.2227056566553511,36.841666666666654,2024-02-02 09:49:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,7.95,,0.0,13.952083333333334,1.2163680035721849,36.824166666666656,2024-02-02 09:50:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,8.133333333333333,,0.0,13.775925925925923,1.307638979500881,39.496666666666655,2024-02-02 09:51:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,4.483333333333333,1.1671204864194316,3.33,13.874074074074072,1.3030057762342069,39.81333333333332,2024-02-02 09:52:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,4.041666666666667,1.140118562655423,2.9325,13.677777777777775,1.3135067201142532,39.39999999999999,2024-02-02 09:53:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.266666666666667,,0.0,15.78125,1.19752656125926,41.94249999999998,2024-02-02 09:55:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.3,,0.0,13.928571428571429,1.4043489566043228,37.529999999999966,2024-02-02 09:56:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.533333333333331,,0.0,15.333333333333334,1.293952347353322,43.92999999999999,2024-02-02 09:57:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.566666666666666,,0.0,15.34074074074074,1.291653395560307,43.91999999999998,2024-02-02 09:58:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.15,,0.0,15.24814814814815,1.301727611429671,43.79666666666665,2024-02-02 09:59:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,10.25,,0.0,19.07037037037037,1.1510040743999874,52.00666666666666,2024-02-02 10:00:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,10.366666666666667,,0.0,19.08888888888889,1.149267123226446,52.00333333333333,2024-02-02 10:01:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.283333333333331,,0.0,18.42333333333333,1.233489555088227,54.487499999999976,2024-02-02 10:03:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.983333333333333,,0.0,18.64,1.2296019235986804,55.0333333333333,2024-02-02 10:04:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,9.25,,0.0,18.586666666666662,1.2327013258607358,54.906666666666645,2024-02-02 10:05:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,16.290277777777778,1.5442415668213156,63.86583333333333,2024-02-02 10:37:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,10.856944444444444,1.6703065795220666,28.80166666666662,2024-02-02 10:38:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,10.817948717948717,1.7540152903377786,27.89666666666657,2024-02-02 10:39:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,12.843589743589744,1.4650644709016225,41.316666666666606,2024-02-02 10:40:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,12.914102564102564,1.4627701167961065,41.32666666666661,2024-02-02 10:41:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,13.221794871794872,1.4612941567726034,44.38999999999996,2024-02-02 10:42:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,5.966666666666667,,0.0,13.185714285714289,1.3099942877321489,38.48083333333332,2024-02-02 10:43:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,5.966666666666667,,0.0,13.290476190476191,1.3023062706523822,38.460833333333326,2024-02-02 10:44:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,5.966666666666667,,0.0,13.1,1.3682446673005997,38.62333333333329,2024-02-02 10:46:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,5.966666666666667,,0.0,13.182222222222224,1.3685363215452304,38.808333333333294,2024-02-02 10:45:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,5.966666666666667,,0.0,13.533333333333331,1.3610777520655906,40.7783333333333,2024-02-02 10:47:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,13.89777777777778,1.367892368494195,44.76499999999997,2024-02-02 10:48:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.0,,0.0,12.003333333333332,1.5580515715991423,44.093333333333305,2024-02-02 10:49:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.033333333333333,,0.0,11.647777777777778,1.5042253908534065,37.89333333333329,2024-02-02 10:50:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.033333333333333,,0.0,11.55,1.5016036923080078,37.01999999999996,2024-02-02 10:51:00
PF_B01_1,PF_B01_1,16.0,16.0,,,,6.033333333333333,,0.0,11.643333333333334,1.4954491792214686,37.2433333333333,2024-02-02 10:52:00
