start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_C06_1,PF_J03_C,10,10.0,,,,3.9166666666666665,,0.0,,,,2024-12-02 06:55:00
PF_C06_1,PF_J03_C,10,10.0,,,,3.7666666666666666,,0.0,,,,2024-12-02 06:56:00
PF_C06_1,PF_J03_C,10,10.0,,,,3.883333333333333,,0.0,,,,2024-12-02 06:57:00
PF_C06_1,PF_J03_C,10,10.0,,,,4.883333333333334,,0.0,,,,2024-12-02 06:58:00
PF_C06_1,PF_J03_C,10,10.0,,,,4.35,,0.0,,,,2024-12-02 06:59:00
PF_C06_1,PF_J03_C,10,10.0,,,,16.65,,0.0,,,,2024-12-02 06:52:00
PF_C06_1,PF_J03_C,10,10.0,,,,3.45,,0.0,,,,2024-12-02 06:54:00
PF_C06_1,PF_J03_C,10,10.0,,,,15.933333333333334,,0.0,,,,2024-12-02 06:53:00
PF_C06_1,PF_J03_C,10,10.0,,,,4.733333333333333,,0.0,,,,2024-12-02 07:00:00
PF_C06_1,PF_J03_C,10,10.0,,,,3.583333333333333,,0.0,,,,2024-12-02 07:01:00
PF_C06_1,PF_J03_C,10,10.0,,,,4.9,,0.0,,,,2024-12-02 07:02:00
PF_C06_1,PF_J03_C,10,10.0,,,,13.183333333333334,,0.0,7.15,,0.0,2024-12-02 07:03:00
PF_C06_1,PF_J03_C,10,10.0,,,,13.4,,0.0,7.666666666666667,,0.0,2024-12-02 07:04:00
PF_C06_1,PF_J03_C,10,10.0,,,,13.65,,0.0,7.616666666666666,,0.0,2024-12-02 07:05:00
PF_C06_1,PF_J03_C,10,10.0,,,,13.616666666666667,,0.0,7.783333333333333,,0.0,2024-12-02 07:06:00
PF_C06_1,PF_J03_C,10,10.0,,,,13.966666666666669,,0.0,6.333333333333333,,0.0,2024-12-02 07:08:00
PF_C06_1,PF_J03_C,10,10.0,,,,14.883333333333333,,0.0,6.333333333333333,,0.0,2024-12-02 07:09:00
PF_C06_1,PF_J03_C,10,10.0,,,,15.816666666666666,,0.0,6.333333333333333,,0.0,2024-12-02 07:10:00
PF_C06_1,PF_J03_C,10,10.0,,,,17.116666666666667,,0.0,6.333333333333333,,0.0,2024-12-02 07:11:00
PF_C06_1,PF_J03_C,10,10.0,,,,17.916666666666668,,0.0,6.333333333333333,,0.0,2024-12-02 07:12:00
PF_C06_1,PF_J03_C,10,10.0,,,,21.58333333333333,,0.0,,,,2024-12-02 07:16:00
PF_C06_1,PF_J03_C,10,10.0,,,,19.1,,0.0,,,,2024-12-02 07:13:00
PF_C06_1,PF_J03_C,10,10.0,,,,19.8,,0.0,,,,2024-12-02 07:14:00
PF_C06_1,PF_J03_C,10,10.0,,,,21.5,,0.0,,,,2024-12-02 07:17:00
PF_C06_1,PF_J03_C,10,10.0,,,,19.33333333333333,,0.0,8.066666666666666,,0.0,2024-12-02 07:20:00
PF_C06_1,PF_J03_C,10,10.0,,,,17.75,,0.0,8.0,,0.0,2024-12-02 07:21:00
PF_C06_1,PF_J03_C,10,10.0,,,,18.266666666666666,,0.0,6.75,,0.0,2024-12-02 07:22:00
PF_C06_1,PF_J03_C,10,10.0,,,,19.3,,0.0,6.75,,0.0,2024-12-02 07:23:00
PF_C06_1,PF_J03_C,10,10.0,,,,20.3,,0.0,6.75,,0.0,2024-12-02 07:24:00
