start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_C12_C,PF_C09_2,4,4.0,,,,8.866666666666667,,0.0,,,,2024-12-02 06:52:00
PF_C12_C,PF_C09_2,4,4.0,,,,8.45,,0.0,,,,2024-12-02 06:53:00
PF_C12_C,PF_C09_2,4,4.0,,,,6.383333333333334,,0.0,6.766666666666667,,0.0,2024-12-02 07:03:00
PF_C12_C,PF_C09_2,4,4.0,,,,6.6,,0.0,6.733333333333333,,0.0,2024-12-02 07:04:00
PF_C12_C,PF_C09_2,4,4.0,,,,5.866666666666666,,0.0,6.883333333333334,,0.0,2024-12-02 07:05:00
PF_C12_C,PF_C09_2,4,4.0,,,,5.883333333333334,,0.0,6.9,,0.0,2024-12-02 07:06:00
PF_C12_C,PF_C09_2,4,4.0,,,,6.383333333333334,,0.0,7.4,,0.0,2024-12-02 07:08:00
PF_C12_C,PF_C09_2,4,4.0,,,,7.383333333333334,,0.0,8.4,,0.0,2024-12-02 07:09:00
PF_C12_C,PF_C09_2,4,4.0,,,,8.4,,0.0,9.416666666666666,,0.0,2024-12-02 07:10:00
PF_C12_C,PF_C09_2,4,4.0,,,,9.416666666666666,,0.0,10.433333333333334,,0.0,2024-12-02 07:11:00
PF_C12_C,PF_C09_2,4,4.0,,,,10.433333333333334,,0.0,11.45,,0.0,2024-12-02 07:12:00
PF_C12_C,PF_C09_2,4,4.0,,,,11.45,,0.0,12.466666666666669,,0.0,2024-12-02 07:13:00
PF_C12_C,PF_C09_2,4,4.0,,,,12.45,,0.0,13.466666666666669,,0.0,2024-12-02 07:14:00
PF_C12_C,PF_C09_2,4,4.0,,,,14.566666666666666,,0.0,6.25,,0.0,2024-12-02 07:22:00
PF_C12_C,PF_C09_2,4,4.0,,,,14.566666666666666,,0.0,7.283333333333333,,0.0,2024-12-02 07:23:00
PF_C12_C,PF_C09_2,4,4.0,,,,14.566666666666666,,0.0,8.283333333333333,,0.0,2024-12-02 07:24:00
PF_C12_C,PF_C09_2,4,4.0,,,,14.566666666666666,,0.0,9.216666666666669,,0.0,2024-12-02 07:25:00
PF_C12_C,PF_C09_2,4,4.0,,,,14.566666666666666,,0.0,8.65,,0.0,2024-12-02 07:26:00
