start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_F07_C,PF_C12_C,5,6.0,,,,6.116666666666666,,0.0,,,,2024-01-02 05:53:00
PF_F07_C,PF_C12_C,5,6.0,,,,4.466666666666667,,0.0,,,,2024-01-02 05:54:00
PF_F07_C,PF_C12_C,5,6.0,,,,7.316666666666666,,0.0,,,,2024-01-02 05:55:00
PF_F07_C,PF_C12_C,5,6.0,,,,7.516666666666667,,0.0,,,,2024-01-02 05:56:00
PF_F07_C,PF_C12_C,5,6.0,,,,5.066666666666666,,0.0,,,,2024-01-02 05:57:00
PF_F07_C,PF_C12_C,5,6.0,,,,5.066666666666666,,0.0,,,,2024-01-02 05:58:00
PF_F07_C,PF_C12_C,5,6.0,,,,5.433333333333334,,0.0,,,,2024-01-02 05:59:00
PF_F07_C,PF_C12_C,5,6.0,,,,6.4,,0.0,,,,2024-01-02 06:02:00
PF_F07_C,PF_C12_C,5,6.0,,,,6.4,,0.0,,,,2024-01-02 06:03:00
PF_F07_C,PF_C12_C,5,6.0,,,,6.516666666666667,,0.0,,,,2024-01-02 06:01:00
PF_F07_C,PF_C12_C,5,6.0,,,,5.35,,0.0,,,,2024-01-02 06:10:00
PF_F07_C,PF_C12_C,5,6.0,,,,5.35,,0.0,,,,2024-01-02 06:07:00
PF_F07_C,PF_C12_C,5,6.0,,,,5.35,,0.0,,,,2024-01-02 06:08:00
PF_F07_C,PF_C12_C,5,6.0,,,,41.81666666666667,,0.0,,,,2024-02-02 05:59:00
PF_F07_C,PF_C12_C,5,6.0,,,,42.91666666666666,,0.0,,,,2024-02-02 06:02:00
PF_F07_C,PF_C12_C,5,6.0,,,,42.15,,0.0,,,,2024-02-02 06:04:00
PF_F07_C,PF_C12_C,5,6.0,,,,41.6,,0.0,,,,2024-02-02 05:58:00
PF_F07_C,PF_C12_C,5,6.0,,,,41.81666666666667,,0.0,,,,2024-02-02 06:05:00
PF_F07_C,PF_C12_C,5,6.0,,,,42.18333333333333,,0.0,,,,2024-02-02 06:00:00
PF_F07_C,PF_C12_C,5,6.0,,,,42.66666666666666,,0.0,,,,2024-02-02 06:01:00
PF_F07_C,PF_C12_C,5,6.0,,,,42.11666666666667,,0.0,,,,2024-02-02 06:06:00
PF_F07_C,PF_C12_C,5,6.0,,,,41.8,,0.0,,,,2024-02-02 06:07:00
PF_F07_C,PF_C12_C,5,6.0,,,,42.5,,0.0,,,,2024-02-02 06:08:00
