start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_F10_C,PF_C09_2,2,3.0,,,,5.833333333333333,,0.0,,,,2024-01-02 05:53:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.183333333333334,,0.0,,,,2024-01-02 05:54:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.366666666666666,,0.0,,,,2024-01-02 05:55:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.783333333333333,,0.0,,,,2024-01-02 05:56:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.783333333333333,,0.0,,,,2024-01-02 05:57:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.783333333333333,,0.0,,,,2024-01-02 05:58:00
PF_F10_C,PF_C09_2,2,3.0,,,,5.15,,0.0,,,,2024-01-02 05:59:00
PF_F10_C,PF_C09_2,2,3.0,,,,5.716666666666667,,0.0,,,,2024-01-02 06:02:00
PF_F10_C,PF_C09_2,2,3.0,,,,5.716666666666667,,0.0,,,,2024-01-02 06:03:00
PF_F10_C,PF_C09_2,2,3.0,,,,5.833333333333333,,0.0,,,,2024-01-02 06:01:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.666666666666667,,0.0,,,,2024-01-02 06:10:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.666666666666667,,0.0,,,,2024-01-02 06:07:00
PF_F10_C,PF_C09_2,2,3.0,,,,4.666666666666667,,0.0,,,,2024-01-02 06:08:00
