start_stop,end_stop,start_sequence,end_sequence,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],datetime
PF_J02_C,PF_C07_2,2.0,2.0,,,,0.9333333333333332,,0.0,,,,2024-12-02 06:55:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,0.35,,0.0,,,,2024-12-02 06:56:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,0.6333333333333333,,0.0,,,,2024-12-02 06:57:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,1.7333333333333334,,0.0,,,,2024-12-02 06:58:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,12.733333333333333,,0.0,,,,2024-12-02 06:52:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,1.9,,0.0,,,,2024-12-02 06:59:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,12.316666666666666,,0.0,,,,2024-12-02 06:53:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,0.4666666666666667,,0.0,,,,2024-12-02 06:54:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,1.9,,0.0,,,,2024-12-02 07:00:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,1.9,,0.0,,,,2024-12-02 07:01:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,1.9,,0.0,,,,2024-12-02 07:02:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,9.783333333333331,,0.0,7.883333333333334,,0.0,2024-12-02 07:03:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,10.55,,0.0,8.65,,0.0,2024-12-02 07:04:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,10.7,,0.0,8.8,,0.0,2024-12-02 07:05:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,10.716666666666669,,0.0,8.816666666666666,,0.0,2024-12-02 07:06:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,10.7,,0.0,8.8,,0.0,2024-12-02 07:07:00
3,,0.0,2024-12-02 07:08:00,,,,,,,,,,
PF_J02_C,PF_C07_2,2.0,2.0,,,,12.633333333333333,,0.0,10.733333333333333,,0.0,2024-12-02 07:09:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,13.65,,0.0,11.75,,0.0,2024-12-02 07:10:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,14.666666666666666,,0.0,12.766666666666667,,0.0,2024-12-02 07:11:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,15.683333333333334,,0.0,13.783333333333331,,0.0,2024-12-02 07:12:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,16.7,,0.0,14.8,,0.0,2024-12-02 07:13:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,17.7,,0.0,15.8,,0.0,2024-12-02 07:14:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,19.28333333333333,,0.0,6.366666666666666,,0.0,2024-12-02 07:22:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,19.28333333333333,,0.0,7.4,,0.0,2024-12-02 07:23:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,19.28333333333333,,0.0,8.4,,0.0,2024-12-02 07:24:00
PF_J02_C,PF_C07_2,2.0,2.0,,,,19.28333333333333,,0.0,9.333333333333334,,0.0,2024-12-02 07:25:00
PF_J02_C,PF_C07_2,2,2.0,,,,19.283333333333335,,0.0,9.666666666666666,,0.0,2024-12-02 07:26:00
