start_stop,end_stop,start_sequence,end_sequence,length,time_period_id,time_period,time_period_label,mean_speed [km/h],mean_time [mins],mean_headway [mins],trip_count
PF_A15_C,PF_A14_C,1,2,2.671,28,07:01:00,07:01,40.065,4.0,3.3333333333333335,16
PF_A15_C,PF_A14_C,1,2,2.671,29,07:16:00,07:16,40.065,4.0,2.1666666666666665,16
PF_A15_C,PF_A14_C,1,2,2.671,30,07:31:00,07:31,40.065,4.0,2.5,16
PF_A15_C,PF_A14_C,1,2,2.671,31,07:46:00,07:46,40.065,4.0,2.1666666666666665,16
PF_A15_C,PF_A14_C,1,2,2.671,32,08:01:00,08:01,40.065,4.0,2.5,16
PF_A15_C,PF_A14_C,1,2,2.671,33,08:16:00,08:16,40.065,4.0,2.1666666666666665,16
PF_A15_C,PF_A14_C,1,2,2.671,34,08:31:00,08:31,40.065,4.0,2.5,16
PF_A15_C,PF_A14_C,1,2,2.671,35,08:46:00,08:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,36,09:01:00,09:01,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,37,09:16:00,09:16,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,38,09:31:00,09:31,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,39,09:46:00,09:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,40,10:01:00,10:01,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,41,10:16:00,10:16,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,42,10:31:00,10:31,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,43,10:46:00,10:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,44,11:01:00,11:01,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,45,11:16:00,11:16,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,46,11:31:00,11:31,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,47,11:46:00,11:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,48,12:01:00,12:01,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,49,12:16:00,12:16,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,50,12:31:00,12:31,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,51,12:46:00,12:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,52,13:01:00,13:01,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,53,13:16:00,13:16,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,54,13:31:00,13:31,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,55,13:46:00,13:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,56,14:01:00,14:01,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,57,14:16:00,14:16,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,58,14:31:00,14:31,40.065000000000005,4.0,3.0,14
PF_A15_C,PF_A14_C,1,2,2.671,59,14:46:00,14:46,40.065000000000005,4.0,4.0,14
PF_A15_C,PF_A14_C,1,2,2.671,60,15:01:00,15:01,40.06500000000001,4.0,3.0,15
