start_stop,end_stop,start_sequence,end_sequence,length
PF_A15_C,PF_A14_C,1,2,2.671
PF_A14_C,PF_A13_C,2,3,2.1048000000000004
PF_A13_C,PF_A12_C,3,4,1.0987999999999998
PF_A12_C,PF_A11_C,4,5,1.4535999999999998
PF_A11_C,PF_A10_C,5,6,2.1612
PF_A10_C,PF_A09_C,6,7,1.0275999999999996
PF_A09_C,PF_A08_C,7,8,1.7154000000000007
PF_A08_C,PF_A07_C,8,9,1.0157000000000007
PF_A07_C,PF_A06_C,9,10,0.9596999999999998
PF_A06_C,PF_A05_C,10,11,0.5673999999999992
PF_A05_C,PF_A04_C,11,12,0.8945000000000007
PF_A04_C,PF_A03_1,12,13,1.059800000000001
PF_A03_1,PF_A02_C,13,14,0.7119999999999997
PF_A02_C,PF_A01_1,14,15,0.7580999999999989
PF_A01_1,PF_B01_1,15,16,0.3340999999999994
PF_B01_1,PF_B02_1,16,17,0.3584999999999994
PF_B02_1,PF_B03_C,17,18,0.8428000000000004
PF_B03_C,PF_B35_C,18,19,0.7934000000000019
PF_B35_C,PF_B04_C,19,20,0.9390000000000001
PF_B04_C,PF_B05_C,20,21,1.0001999999999995
PF_B05_C,PF_B06_C,21,22,1.3378999999999976
PF_B06_C,PF_B07_C,22,23,1.8276000000000003
PF_B07_C,PF_B08_C,23,24,1.4546000000000028
PF_B08_C,PF_B09_C,24,25,1.7783999999999978
PF_B09_C,PF_B10_C,25,26,1.6795000000000009
PF_B10_C,PF_B11_C,26,27,1.7515999999999963
PF_B11_C,PF_B10_C,1,2,1.753
PF_B10_C,PF_B09_C,2,3,1.6796
PF_B09_C,PF_B08_C,3,4,1.7784000000000004
PF_B08_C,PF_B07_C,4,5,1.4544999999999995
PF_B07_C,PF_B06_C,5,6,1.8277
PF_B06_C,PF_B05_C,6,7,1.3378999999999994
PF_B05_C,PF_B04_C,7,8,1.0002000000000013
PF_B04_C,PF_B35_C,8,9,0.9390000000000001
PF_B35_C,PF_B03_C,9,10,0.7932999999999986
PF_B03_C,PF_B02_2,10,11,0.6487000000000016
PF_B02_2,PF_B01_2,11,12,0.38709999999999845
PF_B01_2,PF_A01_2,12,13,0.3341000000000012
PF_A01_2,PF_A02_C,13,14,0.7582000000000004
PF_A02_C,PF_A03_2,14,15,0.6902999999999988
PF_A03_2,PF_A04_C,15,16,1.0875000000000004
PF_A04_C,PF_A05_C,16,17,0.8945000000000007
PF_A05_C,PF_A06_C,17,18,0.5673999999999992
PF_A06_C,PF_A07_C,18,19,0.9597000000000016
PF_A07_C,PF_A08_C,19,20,1.015699999999999
PF_A08_C,PF_A09_C,20,21,1.715399999999999
PF_A09_C,PF_A10_C,21,22,1.0275999999999996
PF_A10_C,PF_A11_C,22,23,2.161200000000001
PF_A11_C,PF_A12_C,23,24,1.4536000000000016
PF_A12_C,PF_A13_C,24,25,1.0987999999999971
PF_A13_C,PF_A14_C,25,26,2.104800000000001
PF_A14_C,PF_A15_C,26,27,2.6697000000000024
PF_G05_C,PF_G04_C,1,2,1.325
PF_G04_C,PF_G03_C,2,3,1.7288
PF_G03_C,PF_G02_C,3,4,1.0070000000000006
PF_G02_C,PF_G01_C,4,5,1.3514999999999997
PF_G01_C,PF_D08_C,5,6,2.6326
PF_D08_C,PF_D07_C,6,7,0.7652999999999999
PF_D07_C,PF_D06_C,7,8,0.6503999999999994
PF_D06_C,PF_D05_C,8,9,0.5538000000000007
PF_D05_C,PF_D04_C,9,10,0.5091000000000001
PF_D04_C,PF_D03_C,10,11,0.3642000000000003
PF_D03_C,PF_D02_2,11,12,0.4637999999999991
PF_D02_2,PF_D01_C,12,13,0.43239999999999945
PF_D01_C,PF_C01_C,13,14,0.32860000000000156
PF_C01_C,PF_C02_2,14,15,0.41249999999999964
PF_C02_2,PF_C03_2,15,16,0.40719999999999956
PF_C03_2,PF_C04_C,16,17,0.5845000000000002
PF_C04_C,PF_C05_2,17,18,1.2883999999999993
PF_C05_2,PF_C06_2,18,19,0.9960000000000004
PF_C06_2,PF_C07_2,19,20,1.3406000000000002
PF_C07_2,PF_C08_2,20,21,0.6106000000000016
PF_C08_2,PF_C09_2,21,22,0.720799999999997
PF_C09_2,PF_C10_2,22,23,0.7592999999999996
PF_C10_2,PF_C11_2,23,24,1.5674000000000028
PF_C11_2,PF_C12_C,24,25,1.5212000000000003
PF_C12_C,PF_C13_C,25,26,0.6908999999999992
PF_C13_C,PF_J02_C,26,27,3.805299999999999
PF_J02_C,PF_J03_C,27,28,3.608599999999999
PF_J03_C,PF_J02_C,1,2,3.5902
PF_J02_C,PF_C13_C,2,3,3.7693
PF_C13_C,PF_C12_C,3,4,0.6520999999999999
PF_C12_C,PF_C11_1,4,5,1.5202000000000009
PF_C11_1,PF_C10_1,5,6,1.538499999999999
PF_C10_1,PF_C09_1,6,7,0.7445000000000004
PF_C09_1,PF_C08_1,7,8,0.7102000000000004
PF_C08_1,PF_C07_1,8,9,0.610199999999999
PF_C07_1,PF_C06_1,9,10,1.3252000000000006
PF_C06_1,PF_C05_1,10,11,0.9960000000000004
PF_C05_1,PF_C04_C,11,12,1.2838000000000012
PF_C04_C,PF_C03_1,12,13,0.5830999999999982
PF_C03_1,PF_C02_1,13,14,0.3813999999999993
PF_C02_1,PF_C01_C,14,15,0.4095000000000013
PF_C01_C,PF_D01_C,15,16,0.32649999999999935
PF_D01_C,PF_D02_1,16,17,0.43260000000000076
PF_D02_1,PF_D03_C,17,18,0.4626999999999981
PF_D03_C,PF_D04_C,18,19,0.36310000000000286
PF_D04_C,PF_D05_C,19,20,0.5017999999999994
PF_D05_C,PF_D06_C,20,21,0.5488999999999997
PF_D06_C,PF_D07_C,21,22,0.639800000000001
PF_D07_C,PF_D08_C,22,23,0.7652999999999999
PF_D08_C,PF_G01_C,23,24,2.5810999999999993
PF_G01_C,PF_G02_C,24,25,1.3465999999999987
PF_G02_C,PF_G03_C,25,26,0.9846000000000004
PF_G03_C,PF_G04_C,26,27,1.7287999999999997
PF_G04_C,PF_G05_C,27,28,1.3246000000000002
PF_F11_C,PF_F10_C,1,2,1.6081
PF_F10_C,PF_F09_C,2,3,1.5858
PF_F09_C,PF_F08_C,3,4,1.3632999999999997
PF_F08_C,PF_F07_C,4,5,0.9206000000000003
PF_F07_C,PF_F06_C,5,6,1.3273000000000001
PF_F06_C,PF_F05_C,6,7,1.1747999999999994
PF_F05_C,PF_F04_C,7,8,0.7190000000000003
PF_F04_C,PF_F03_1,8,9,0.7744
PF_F03_1,PF_F02_C,9,10,0.5892
PF_F02_C,PF_F01_C,10,11,0.3542000000000005
PF_F01_C,PF_E01_C,11,12,0.5023999999999997
PF_E01_C,PF_E02_C,12,13,0.589599999999999
PF_E02_C,PF_E03_C,13,14,0.5224000000000011
PF_E03_C,PF_E04_C,14,15,0.8987999999999996
PF_E04_C,PF_E05_C,15,16,0.7492999999999999
PF_E05_C,PF_E06_C,16,17,1.7302999999999997
PF_E06_C,PF_E07_1,17,18,1.9826999999999995
PF_E07_1,PF_E08_1,18,19,1.3438000000000017
PF_E08_1,PF_E09_C,19,20,1.8652999999999977
PF_E09_C,PF_E10_C,20,21,2.4907000000000004
PF_F03_2,PF_F04_C,1,2,0.7752
PF_F04_C,PF_F05_C,2,3,0.7189
PF_F05_C,PF_F06_C,3,4,1.1747999999999998
PF_F06_C,PF_F07_C,4,5,1.3273000000000001
PF_F07_C,PF_F08_C,5,6,0.9207000000000001
PF_F08_C,PF_F09_C,6,7,1.3632
PF_F09_C,PF_F10_C,7,8,1.5857999999999999
PF_F10_C,PF_F11_C,8,9,1.6067999999999998
PF_E10_C,PF_E09_C,1,2,2.4989
PF_E09_C,PF_E08_2,2,3,1.8699000000000003
PF_E08_2,PF_E07_2,3,4,1.3561999999999994
PF_E07_2,PF_E06_C,4,5,1.9828000000000001
PF_E06_C,PF_E05_C,5,6,1.7303000000000006
PF_E05_C,PF_E04_C,6,7,0.7492000000000001
PF_E04_C,PF_E03_C,7,8,0.8988999999999994
PF_E03_C,PF_E02_C,8,9,0.5222999999999995
PF_E02_C,PF_E01_C,9,10,0.5894000000000013
PF_E01_C,PF_F01_C,10,11,0.502699999999999
PF_F01_C,PF_F02_C,11,12,0.35410000000000075
PF_F02_C,PF_F03_2,12,13,0.591899999999999
PF_C15_C,PF_C14_1,1,2,0.5259
PF_C14_1,PF_C13_C,2,3,0.6707000000000001
PF_C07_1,PF_F03_1,9,10,2.2873
PF_C13_C,PF_C14_2,2,3,0.7063999999999999
PF_C14_2,PF_C15_C,3,4,0.5264
PF_F03_2,PF_C07_2,4,5,2.2877
PF_C10_2,PF_C12_C,5,6,3.0811
PF_D13_C,PF_D12_C,1,2,1.4972
PF_D12_C,PF_D11_2,2,3,1.8705999999999998
PF_D11_2,PF_D10_C,3,4,1.1508000000000003
PF_D10_C,PF_D09_C,4,5,0.9811999999999994
PF_D09_C,PF_D08_C,5,6,2.0703000000000005
PF_C05_2,PF_K01_C,18,19,0.9714000000000009
PF_K01_C,PF_K02_2,19,20,0.6649999999999991
PF_K02_2,PF_K03_2,20,21,0.5002999999999993
PF_K03_2,PF_K04_2,21,22,0.5123999999999995
PF_K04_2,PF_K05_C,22,23,2.5558000000000014
PF_K05_C,PF_K06_2,23,24,2.1228000000000016
PF_K06_2,PF_K07_C,24,25,2.4142999999999972
PF_K07_C,PF_K08_C,25,26,2.4364000000000026
PF_K08_C,PF_K07_C,1,2,2.4381
PF_K07_C,PF_K06_1,2,3,2.4026
PF_K06_1,PF_K05_C,3,4,2.0999999999999996
PF_K05_C,PF_K04_1,4,5,2.5563000000000002
PF_K04_1,PF_K03_1,5,6,0.4969000000000001
PF_K03_1,PF_K02_1,6,7,0.5004000000000008
PF_K02_1,PF_K01_C,7,8,0.6658999999999988
PF_K01_C,PF_C05_1,8,9,1.0235000000000003
PF_D08_C,PF_D09_C,21,22,2.017199999999999
PF_D09_C,PF_D10_C,22,23,0.976700000000001
PF_D10_C,PF_D11_1,23,24,1.1505999999999972
