start_stop,end_stop,start_sequence,end_sequence,length,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins]
PF_A15_C,PF_A14_C,1,2,2.671,40.065000000000005,1.7745315259368998e-16,0.0,4.0,0.0,0.0,2.1710296684118675,0.5946167645437915,3.0
PF_A14_C,PF_A13_C,2,3,2.1048000000000004,42.096,1.6889159441909422e-16,0.0,3.0,0.0,0.0,2.6847826086956523,0.6050750157598355,4.0
PF_A13_C,PF_A12_C,3,4,1.0987999999999998,32.96399999999999,0.0,0.0,2.0,0.0,0.0,2.654427645788337,0.6569029522713397,4.0
PF_A12_C,PF_A11_C,4,5,1.4535999999999998,29.071999999999996,0.0,0.0,3.0,0.0,0.0,2.328897338403042,0.5794578298112992,2.0
PF_A11_C,PF_A10_C,5,6,2.1612,32.418000000000006,2.193121277890736e-16,0.0,4.0,0.0,0.0,2.317490494296578,0.5773796629020923,2.0
PF_A10_C,PF_A09_C,6,7,1.0275999999999996,30.827999999999978,3.4593521597246954e-16,0.0,2.0,0.0,0.0,2.8427230046948355,0.6162923551741452,4.0
PF_A09_C,PF_A08_C,7,8,1.7154000000000007,34.30800000000001,2.0723039986784972e-16,0.0,3.0,0.0,0.0,2.2645403377110696,0.5893855989699668,2.0
PF_A08_C,PF_A07_C,8,9,1.0157000000000007,30.471000000000018,1.1666273766312535e-16,0.0,2.0,0.0,0.0,2.4610655737704916,0.5843636335829985,3.0
PF_A07_C,PF_A06_C,9,10,0.9596999999999998,19.193999999999992,1.8520528703413027e-16,0.0,3.0,0.0,0.0,1.995,0.6037398308612258,2.0
PF_A06_C,PF_A05_C,10,11,0.5673999999999992,17.032999999999987,0.0016299629534739302,0.08100000000002439,2.0,0.0,0.0,1.8904761904761904,0.5888376977256398,2.0
PF_A05_C,PF_A04_C,11,12,0.8945000000000007,26.835000000000026,4.094586940316332e-16,0.0,2.0,0.0,0.0,2.1387387387387387,0.6032919302621071,2.0
PF_A04_C,PF_A03_1,12,13,1.059800000000001,31.794000000000025,2.6815691746333233e-16,0.0,2.0,0.0,0.0,2.1125,0.5641358487018248,2.0
PF_A03_1,PF_A02_C,13,14,0.7119999999999997,21.36,3.328223424861827e-16,1.4210854715202004e-14,2.0,0.0,0.0,3.0103092783505154,0.5731283172264356,4.0
PF_A02_C,PF_A01_1,14,15,0.7580999999999989,22.742999999999967,4.60765331043496e-16,2.842170943040401e-14,2.0,0.0,0.0,2.235294117647059,0.6201691004849718,3.0
PF_A01_1,PF_B01_1,15,16,0.3340999999999994,20.045999999999964,5.227569551991536e-16,2.842170943040401e-14,1.0,0.0,0.0,3.015463917525773,0.5760955921090045,4.0
PF_B01_1,PF_B02_1,16,17,0.3584999999999994,21.509999999999977,9.090179548096107e-16,5.3290705182007514e-14,1.0,0.0,0.0,3.015463917525773,0.5760955921090045,4.0
PF_B02_1,PF_B03_C,17,18,0.8428000000000004,25.28400000000001,3.3720064205937323e-16,0.0,2.0,0.0,0.0,3.015463917525773,0.5760955921090045,4.0
PF_B03_C,PF_B35_C,18,19,0.7934000000000019,23.80200000000005,7.674200783105098e-16,0.0,2.0,0.0,0.0,1.9570957095709571,0.5842070273405405,2.0
PF_B35_C,PF_B04_C,19,20,0.9390000000000001,18.780000000000005,1.8927276984837222e-16,0.0,3.0,0.0,0.0,1.7655786350148368,0.7044054718921151,3.0
PF_B04_C,PF_B05_C,20,21,1.0001999999999995,30.00599999999998,2.3692212342547714e-16,0.0,2.0,0.0,0.0,2.1113074204946995,0.5705949886625827,2.0
PF_B05_C,PF_B06_C,21,22,1.3378999999999976,26.75799999999996,9.151225481918224e-16,7.105427357601002e-14,3.0,0.0,0.0,1.8030075187969925,0.5961712342073193,2.0
PF_B06_C,PF_B07_C,22,23,1.8276000000000003,36.55200000000001,0.0,0.0,3.0,0.0,0.0,1.7958271236959762,0.6457542774877318,3.0
PF_B07_C,PF_B08_C,23,24,1.4546000000000028,29.092000000000038,8.824314823239216e-16,0.0,3.0,0.0,0.0,1.7808823529411764,0.6065810193283039,2.5
PF_B08_C,PF_B09_C,24,25,1.7783999999999978,35.56799999999997,4.3234592651981164e-16,3.552713678800501e-14,3.0,0.0,0.0,1.8809891808346213,0.6061704064626671,2.0
PF_B09_C,PF_B10_C,25,26,1.6795000000000009,33.59000000000002,3.899667283388735e-16,0.0,3.0,0.0,0.0,1.8502269288956128,0.5868687232797832,2.0
