start_stop,end_stop,start_sequence,end_sequence,length,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],start_lat,start_lon,end_lat,end_lon
PF_A15_C,PF_A14_C,1,2,2.671,40.065000000000005,1.7745315259368998e-16,0.0,4.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,39.11991556,-77.16466099,39.08426749,-77.14618148
PF_A14_C,PF_A13_C,2,3,2.1048000000000004,42.096,1.6889159441909422e-16,0.0,3.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,39.08426749,-77.14618148,39.06268856,-77.1212136
PF_A13_C,PF_A12_C,3,4,1.0987999999999998,32.96399999999999,0.0,0.0,2.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,39.06268856,-77.1212136,39.04852256,-77.11307662
PF_A12_C,PF_A11_C,4,5,1.4535999999999998,29.072,0.0,0.0,3.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,39.04852256,-77.11307662,39.02972195,-77.10412029
PF_A11_C,PF_A10_C,5,6,2.1612,32.418000000000006,2.193121277890736e-16,0.0,4.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,39.02972195,-77.10412029,38.99821762,-77.09675597
PF_A10_C,PF_A09_C,6,7,1.0275999999999996,30.827999999999975,3.4593521597246954e-16,0.0,2.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.99821762,-77.09675597,38.9832672,-77.09365192
PF_A09_C,PF_A08_C,7,8,1.7154000000000007,34.30800000000001,2.0723039986784967e-16,0.0,3.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.9832672,-77.09365192,38.95937588,-77.08501937
PF_A08_C,PF_A07_C,8,9,1.0157000000000007,30.471000000000014,1.1666273766312535e-16,0.0,2.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.95937588,-77.08501937,38.94887778,-77.07966978
PF_A07_C,PF_A06_C,9,10,0.9596999999999998,19.193999999999992,1.8520528703413027e-16,0.0,3.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.94887778,-77.07966978,38.94320326,-77.06295116
PF_A06_C,PF_A05_C,10,11,0.5673999999999992,17.032999999999987,0.0016299629534739,0.0810000000000243,2.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.94320326,-77.06295116,38.93490519,-77.05812601
PF_A05_C,PF_A04_C,11,12,0.8945000000000007,26.835000000000026,4.094586940316332e-16,0.0,2.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.93490519,-77.05812601,38.92555387,-77.05268991
PF_A04_C,PF_A03_1,12,13,1.059800000000001,31.794000000000025,2.6815691746333233e-16,0.0,2.0,0.0,0.0,13.954707985697258,5.889076574832719,9.0,38.92555387,-77.05268991,38.90988563,-77.04366281
PF_A03_1,PF_A02_C,13,14,0.7119999999999997,21.36,3.3282234248618273e-16,1.4210854715202004e-14,2.0,0.0,0.0,15.6885698509111,5.649180715044508,9.0,38.90988563,-77.04366281,38.903139,-77.03966617
PF_A02_C,PF_A01_1,14,15,0.7580999999999989,22.742999999999967,4.60765331043496e-16,2.8421709430404014e-14,2.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.903139,-77.03966617,38.89825796,-77.02808407
PF_A01_1,PF_B01_1,15,16,0.3340999999999994,20.045999999999964,5.227569551991536e-16,2.8421709430404014e-14,1.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.89825796,-77.02808407,38.89831334,-77.02279684
PF_B01_1,PF_B02_1,16,17,0.3584999999999994,21.509999999999977,9.090179548096109e-16,5.329070518200752e-14,1.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.89831334,-77.02279684,38.89617617,-77.01685404
PF_B02_1,PF_B03_C,17,18,0.8428000000000004,25.28400000000001,3.3720064205937323e-16,0.0,2.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.89617617,-77.01685404,38.89748841,-77.00746385
PF_B03_C,PF_B35_C,18,19,0.7934000000000019,23.80200000000005,7.674200783105099e-16,0.0,2.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.89748841,-77.00746385,38.906609,-77.00330889
PF_B35_C,PF_B04_C,19,20,0.939,18.780000000000005,1.8927276984837222e-16,0.0,3.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.906609,-77.00330889,38.9209079,-76.99593988
PF_B04_C,PF_B05_C,20,21,1.0001999999999995,30.00599999999998,2.3692212342547714e-16,0.0,2.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.9209079,-76.99593988,38.93311815,-76.99452926
PF_B05_C,PF_B06_C,21,22,1.3378999999999976,26.75799999999996,9.151225481918224e-16,7.105427357601003e-14,3.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.93311815,-76.99452926,38.9517915,-77.00215509
PF_B06_C,PF_B07_C,22,23,1.8276000000000003,36.55200000000001,0.0,0.0,3.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.9517915,-77.00215509,38.97602057,-77.01812692
PF_B07_C,PF_B08_C,23,24,1.4546000000000028,29.09200000000004,8.824314823239217e-16,0.0,3.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.97602057,-77.01812692,38.99369139,-77.03118006
PF_B08_C,PF_B09_C,24,25,1.7783999999999978,35.56799999999997,4.3234592651981164e-16,3.5527136788005016e-14,3.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,38.99369139,-77.03118006,39.01530824,-77.04303038
PF_B09_C,PF_B10_C,25,26,1.6795000000000009,33.59000000000002,3.899667283388735e-16,0.0,3.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,39.01530824,-77.04303038,39.03763554,-77.0501341
PF_B10_C,PF_B11_C,26,27,1.7515999999999965,26.273796296296247,1.9568263680164417e-05,0.0,4.0,0.0,0.0,13.98092967818832,5.888975134087684,9.0,39.03763554,-77.0501341,39.06175944,-77.05354574
PF_B11_C,PF_B10_C,1,2,1.753,35.059999999999995,0.0,0.0,3.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,39.06175944,-77.05354574,39.03763554,-77.0501341
PF_B10_C,PF_B09_C,2,3,1.6796,33.59199999999999,2.116303058914284e-16,0.0,3.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,39.03763554,-77.0501341,39.01530824,-77.04303038
