start_stop,start_lat,start_lon
PF_N06_C,38.9478252,-77.34031274
PF_N04_C,38.92920589,-77.24188704
PF_N03_C,38.92126077,-77.23416004
PF_N02_C,38.92067679,-77.22158635
PF_N01_C,38.92433016,-77.21053026
PF_K08_C,38.87756961,-77.27246126
PF_K07_C,38.88364098,-77.22724073
PF_K06_2,38.90082511,-77.18922087
PF_K06_1,38.90073595,-77.18921444
PF_K05_C,38.88602258,-77.15694666
PF_K04_2,38.88230587,-77.11321894
PF_K04_1,38.88219896,-77.1132144
PF_K03_2,38.88347189,-77.10305665
PF_K03_1,38.88337629,-77.10299252
PF_K02_2,38.88677835,-77.0954764
PF_K02_1,38.88668469,-77.09540305
PF_K01_C,38.89016272,-77.08709367
PF_J03_C,38.76649769,-77.16798867
PF_J02_C,38.79928502,-77.12926624
PF_G05_C,38.90050268,-76.84465183
PF_G04_C,38.89399325,-76.86770515
PF_G03_C,38.88672337,-76.89413237
PF_G02_C,38.88942134,-76.91183095
PF_G01_C,38.89106148,-76.93861693
PF_F11_C,38.82671071,-76.9118158
PF_F10_C,38.84465995,-76.9328671
PF_F09_C,38.85111917,-76.95660477
PF_F08_C,38.8409458,-76.9752086
PF_F07_C,38.84568777,-76.98843722
PF_F06_C,38.863275,-76.9955565
PF_F05_C,38.87646472,-77.00587504
PF_F04_C,38.87644813,-77.0175571
PF_F03_2,38.88511874,-77.02199431
PF_F03_1,38.88511895,-77.02182773
PF_F02_C,38.89321666,-77.0219064
PF_F01_C,38.89837678,-77.02190378
PF_E10_C,39.0110847,-76.91119571
PF_E09_C,38.97829539,-76.92833781
PF_E08_2,38.96533773,-76.95641827
PF_E08_1,38.96522987,-76.95642218
PF_E07_2,38.955288,-76.96956103
PF_E07_1,38.95524734,-76.96943634
PF_E06_C,38.95172354,-77.00315997
PF_E05_C,38.93735792,-77.0235358
PF_E04_C,38.92749449,-77.03251875
PF_E03_C,38.91700113,-77.02751795
PF_E02_C,38.91350995,-77.02192036
PF_E01_C,38.90657183,-77.02191823
PF_D13_C,38.94802473,-76.87186586
PF_D12_C,38.9334959,-76.891263
PF_D11_2,38.91668297,-76.91668913
PF_D11_1,38.91658784,-76.91663003
PF_D10_C,38.90821601,-76.93516033
PF_D09_C,38.89916416,-76.94673612
PF_D08_C,38.88691895,-76.97707162
PF_D07_C,38.88126287,-76.98557739
PF_D06_C,38.88462465,-76.9960726
PF_D05_C,38.88506533,-77.0052132
PF_D04_C,38.88506795,-77.01593515
PF_D03_C,38.88484,-77.02208621
PF_D02_2,38.88845646,-77.02854519
PF_D02_1,38.88843816,-77.02867526
PF_D01_C,38.89382588,-77.02812963
PF_C15_C,38.79382204,-77.07529833
PF_C14_2,38.80043813,-77.07117784
PF_C14_1,38.80029433,-77.07108096
PF_C13_C,38.80659727,-77.06096816
PF_C12_C,38.81407871,-77.0537195
PF_C10_2,38.85348502,-77.04409364
PF_C10_1,38.85350817,-77.04399623
PF_C09_2,38.8577858,-77.05055889
PF_C09_1,38.85788934,-77.05058238
PF_C08_2,38.86185233,-77.05958163
PF_C08_1,38.86184163,-77.05944486
PF_C07_2,38.86919821,-77.05412775
PF_C07_1,38.86916837,-77.05409044
PF_C06_2,38.88455824,-77.06316289
PF_C06_1,38.88460755,-77.06303395
PF_C05_2,38.89602652,-77.07084623
PF_C05_1,38.89602709,-77.0708266
PF_C04_C,38.90069215,-77.05010201
PF_C03_2,38.90138788,-77.04046559
PF_C03_1,38.90128024,-77.04046558
PF_C02_2,38.90138734,-77.03342284
PF_C02_1,38.90128031,-77.03342283
PF_C01_C,38.89811104,-77.02808414
PF_B35_C,38.906609,-77.00330889
PF_B11_C,39.06175944,-77.05354574
PF_B10_C,39.03763554,-77.0501341
PF_B09_C,39.01530824,-77.04303038
PF_B08_C,38.99369139,-77.03118006
PF_B07_C,38.97602057,-77.01812692
PF_B06_C,38.9517915,-77.00215509
PF_B05_C,38.93311815,-76.99452926
PF_B04_C,38.9209079,-76.99593988
PF_B03_C,38.89748841,-77.00746385
PF_B02_2,38.89625441,-77.01676321
PF_B02_1,38.89617617,-77.01685404
PF_B01_2,38.89841787,-77.02279679
PF_B01_1,38.89831334,-77.02279684
PF_A15_C,39.11991556,-77.16466099
PF_A14_C,39.08426749,-77.14618148
PF_A13_C,39.06268856,-77.1212136
PF_A12_C,39.04852256,-77.11307662
PF_A11_C,39.02972195,-77.10412029
PF_A10_C,38.99821762,-77.09675597
PF_A09_C,38.9832672,-77.09365192
PF_A08_C,38.95937588,-77.08501937
PF_A07_C,38.94887778,-77.07966978
PF_A06_C,38.94320326,-77.06295116
PF_A05_C,38.93490519,-77.05812601
PF_A04_C,38.92555387,-77.05268991
PF_A03_2,38.90992408,-77.04353057
PF_A03_1,38.90988563,-77.04366281
PF_A02_C,38.903139,-77.03966617
PF_A01_2,38.89837599,-77.02808402
PF_A01_1,38.89825796,-77.02808407
PF_N07_C,38.952768,-77.360188
PF_N08_C,38.95282,-77.385178
PF_N09_C,38.96088437,-77.41564171
PF_N10_C,38.95579106,-77.44820113
PF_N11_C,38.99206153,-77.46069475
PF_N12_C,39.00519162,-77.49143447
PF_C11_2,38.83319118,-77.04649174
PF_C11_1,38.83318818,-77.04634174
